periodid,periodname,periodcode,perioddescription,organisationunitname,cholera cases 5 years +,cholera cases under 5 years,cholera deaths 5 years +,cholera deaths under 5 years
201402,Feb-14,201402,,ha Harare Polytechnic Clinic,0,0,0,0
201402,Feb-14,201402,,ha Harare city centre VMMC clinic,0,0,0,0
201402,Feb-14,201402,,ha Hatfield Clinic,0,0,0,0
201402,Feb-14,201402,,ha Insco Wellness Clinic,0,0,0,0
201402,Feb-14,201402,,ha Metropolitan Clinic,0,0,0,0
201402,Feb-14,201402,,ha New Cranborne,0,0,0,0
201402,Feb-14,201402,,"ha PSI New start Centre, Kwame",0,0,0,0
201402,Feb-14,201402,,ha Parirenyatwa Clinic,0,0,0,0
201402,Feb-14,201402,,ha Prospect Palms,0,0,0,0
201402,Feb-14,201402,,ha Queen of Peace,0,0,0,0
201402,Feb-14,201402,,ha Red Crescent Society,0,0,0,0
201402,Feb-14,201402,,ha Roland Square Clinic,0,0,0,0
201402,Feb-14,201402,,ha St Annes Hospital,0,0,0,0
201402,Feb-14,201402,,ha West End Hospital,0,0,0,0
201402,Feb-14,201402,,ha Beatrice Road Hospital,0,0,0,0
201402,Feb-14,201402,,ha Wilkins Infectious Diseases Hospital,0,0,0,0
201402,Feb-14,201402,,ha Avondale Clinic,0,0,0,0
201402,Feb-14,201402,,ha Belvedere Satellite Clinic,0,0,0,0
201402,Feb-14,201402,,ha Mabelreign Satellite Clinic,0,0,0,0
201402,Feb-14,201402,,ha Marlborough Satellite Clinic,0,0,0,0
201402,Feb-14,201402,,ha Roland Square clini,0,0,0,0
201402,Feb-14,201402,,ha Rujeko PolyClinic,0,0,0,0
201402,Feb-14,201402,,ha ZAPSO,0,0,0,0
201402,Feb-14,201402,,ha Borrowdale Clinic,0,0,0,0
201402,Feb-14,201402,,ha Hatcliffe PolyClinic,0,0,0,0
201402,Feb-14,201402,,ha Highlands FHS Clinic,0,0,0,0
201402,Feb-14,201402,,ha Morris Depot Camp Hospital,0,0,0,0
201402,Feb-14,201402,,ha Mount Pleasant Clinic,0,0,0,0
201402,Feb-14,201402,,ha Newlands Clinic,0,0,0,0
201402,Feb-14,201402,,ha University of Zimbabwe,0,0,0,0
201402,Feb-14,201402,,ha Glen Norah Medical Centre,0,0,0,0
201402,Feb-14,201402,,ha Glen Norah Satellite Clinic,0,0,0,0
201402,Feb-14,201402,,ha Highfield PolyClinic,0,0,0,0
201402,Feb-14,201402,,ha Rutsanana PolyClinic,0,0,0,0
201402,Feb-14,201402,,ha Southerton Clinic,0,0,0,0
201402,Feb-14,201402,,ha Spilhaus,0,0,0,0
201402,Feb-14,201402,,ha Spilhaus_Data,0,0,0,0
201402,Feb-14,201402,,ha Vee’s Health Centre,0,0,0,0
201402,Feb-14,201402,,ha Western Triangle Clinic,0,0,0,0
201402,Feb-14,201402,,ha Dunameon,0,0,0,0
201402,Feb-14,201402,,ha Hopley Clinic,0,0,0,0
201402,Feb-14,201402,,ha Matapi Clinic,0,0,0,0
201402,Feb-14,201402,,ha Mbare Hostels Clinic,0,0,0,0
201402,Feb-14,201402,,ha Mbare PolyClinic,0,0,0,0
201402,Feb-14,201402,,ha Sunningdale Clinic,0,0,0,0
201402,Feb-14,201402,,ha Waterfalls Clinic,0,0,0,0
201402,Feb-14,201402,,ha Budiriro PolyClinic,0,0,0,0
201402,Feb-14,201402,,ha Budiriro Satellite Clinic,0,0,0,0
201402,Feb-14,201402,,ha Glen View Maternity Home,0,0,0,0
201402,Feb-14,201402,,ha Glen View PolyClinic,0,0,0,0
201402,Feb-14,201402,,ha Glen View Satellite Clinic,0,0,0,0
201402,Feb-14,201402,,ha Mufakose PolyClinic,0,0,0,0
201402,Feb-14,201402,,ha Starlight,0,0,0,0
201402,Feb-14,201402,,ha Kambuzuma PolyClinic,0,0,0,0
201402,Feb-14,201402,,ha Kuwadzana Phase 4,0,0,0,0
201402,Feb-14,201402,,ha Kuwadzana PolyClinic,0,0,0,0
201402,Feb-14,201402,,ha Warren Park PolyClinic,0,0,0,0
201403,Mar-14,201403,,ha Caledonia sate,0,0,0,0
201403,Mar-14,201403,,ha Eastley FHS Clinic,0,0,0,0
201403,Mar-14,201403,,ha Chitungwiza Central Hospital,0,0,0,0
201403,Mar-14,201403,,ha Harare Central Hospital,0,0,0,0
201403,Mar-14,201403,,ha Parirenyatwa Group of Hospitals,0,0,0,0
201403,Mar-14,201403,,ha Greendale FHS Clinic,0,0,0,0
201403,Mar-14,201403,,ha Highlands Primary Care Clinic,0,0,0,0
201403,Mar-14,201403,,ha Mabvuku PolyClinic,0,0,0,0
201403,Mar-14,201403,,ha Mabvuku Satellite,0,0,0,0
201403,Mar-14,201403,,ha Manyame Airbase Hospital,0,0,0,0
201403,Mar-14,201403,,ha Pacific,0,0,0,0
201403,Mar-14,201403,,ha Tafara FHS Clinic,0,0,0,0
201403,Mar-14,201403,,ha Arcadia Clinic,0,0,0,0
201403,Mar-14,201403,,ha Arcadia Medical Center,0,0,0,0
201403,Mar-14,201403,,ha Avenues Clinic Hospital,0,0,0,0
201403,Mar-14,201403,,ha Baines Avenue Clinic,0,0,0,0
201403,Mar-14,201403,,ha Braeside FHS Clinic,0,0,0,0
201403,Mar-14,201403,,ha Cimas Chinhoyi Clinic,0,0,0,0
201403,Mar-14,201403,,ha Delta Graniteside Clinic,0,0,0,0
201403,Mar-14,201403,,ha Gonda Hospital,0,0,0,0
201403,Mar-14,201403,,ha Harare City Private Institutions,0,0,0,0
201403,Mar-14,201403,,ha Harare Polytechnic Clinic,0,0,0,0
201403,Mar-14,201403,,ha Harare city centre VMMC clinic,0,0,0,0
201403,Mar-14,201403,,ha Hatfield Clinic,0,0,0,0
201403,Mar-14,201403,,ha Insco Wellness Clinic,0,0,0,0
201403,Mar-14,201403,,ha Metropolitan Clinic,0,0,0,0
201403,Mar-14,201403,,ha New Cranborne,0,0,0,0
201403,Mar-14,201403,,"ha PSI New start Centre, Kwame",0,0,0,0
201403,Mar-14,201403,,ha Parirenyatwa Clinic,0,0,0,0
201403,Mar-14,201403,,ha Prospect Palms,0,0,0,0
201403,Mar-14,201403,,ha Queen of Peace,0,0,0,0
201403,Mar-14,201403,,ha Red Crescent Society,0,0,0,0
201403,Mar-14,201403,,ha Roland Square Clinic,0,0,0,0
201403,Mar-14,201403,,ha St Annes Hospital,0,0,0,0
201403,Mar-14,201403,,ha West End Hospital,0,0,0,0
201403,Mar-14,201403,,ha Beatrice Road Hospital,0,0,0,0
201403,Mar-14,201403,,ha Wilkins Infectious Diseases Hospital,0,0,0,0
201403,Mar-14,201403,,ha Avondale Clinic,0,0,0,0
201403,Mar-14,201403,,ha Belvedere Satellite Clinic,0,0,0,0
201403,Mar-14,201403,,ha Mabelreign Satellite Clinic,0,0,0,0
201403,Mar-14,201403,,ha Marlborough Satellite Clinic,0,0,0,0
201403,Mar-14,201403,,ha Roland Square clini,0,0,0,0
201403,Mar-14,201403,,ha Rujeko PolyClinic,0,0,0,0
201403,Mar-14,201403,,ha ZAPSO,0,0,0,0
201403,Mar-14,201403,,ha Borrowdale Clinic,0,0,0,0
201403,Mar-14,201403,,ha Hatcliffe PolyClinic,0,0,0,0
201403,Mar-14,201403,,ha Highlands FHS Clinic,0,0,0,0
201403,Mar-14,201403,,ha Morris Depot Camp Hospital,0,0,0,0
201403,Mar-14,201403,,ha Mount Pleasant Clinic,0,0,0,0
201403,Mar-14,201403,,ha Newlands Clinic,0,0,0,0
201403,Mar-14,201403,,ha University of Zimbabwe,0,0,0,0
201403,Mar-14,201403,,ha Glen Norah Medical Centre,0,0,0,0
201403,Mar-14,201403,,ha Glen Norah Satellite Clinic,0,0,0,0
201403,Mar-14,201403,,ha Highfield PolyClinic,0,0,0,0
201403,Mar-14,201403,,ha Rutsanana PolyClinic,0,0,0,0
201403,Mar-14,201403,,ha Southerton Clinic,0,0,0,0
201403,Mar-14,201403,,ha Spilhaus,0,0,0,0
201403,Mar-14,201403,,ha Spilhaus_Data,0,0,0,0
201403,Mar-14,201403,,ha Vee’s Health Centre,0,0,0,0
201403,Mar-14,201403,,ha Western Triangle Clinic,0,0,0,0
201403,Mar-14,201403,,ha Dunameon,0,0,0,0
201403,Mar-14,201403,,ha Hopley Clinic,0,0,0,0
201403,Mar-14,201403,,ha Matapi Clinic,0,0,0,0
201403,Mar-14,201403,,ha Mbare Hostels Clinic,0,0,0,0
201403,Mar-14,201403,,ha Mbare PolyClinic,0,0,0,0
201403,Mar-14,201403,,ha Sunningdale Clinic,0,0,0,0
201403,Mar-14,201403,,ha Waterfalls Clinic,0,0,0,0
201403,Mar-14,201403,,ha Budiriro PolyClinic,0,0,0,0
201403,Mar-14,201403,,ha Budiriro Satellite Clinic,0,0,0,0
201403,Mar-14,201403,,ha Glen View Maternity Home,0,0,0,0
201403,Mar-14,201403,,ha Glen View PolyClinic,0,0,0,0
201403,Mar-14,201403,,ha Glen View Satellite Clinic,0,0,0,0
201403,Mar-14,201403,,ha Mufakose PolyClinic,0,0,0,0
201403,Mar-14,201403,,ha Starlight,0,0,0,0
201403,Mar-14,201403,,ha Kambuzuma PolyClinic,0,0,0,0
201403,Mar-14,201403,,ha Kuwadzana Phase 4,0,0,0,0
201403,Mar-14,201403,,ha Kuwadzana PolyClinic,0,0,0,0
201403,Mar-14,201403,,ha Warren Park PolyClinic,0,0,0,0
201404,Apr-14,201404,,ha Caledonia sate,0,0,0,0
201404,Apr-14,201404,,ha Eastley FHS Clinic,0,0,0,0
201404,Apr-14,201404,,ha Chitungwiza Central Hospital,0,0,0,0
201404,Apr-14,201404,,ha Harare Central Hospital,0,0,0,0
201404,Apr-14,201404,,ha Parirenyatwa Group of Hospitals,0,0,0,0
201404,Apr-14,201404,,ha Greendale FHS Clinic,0,0,0,0
201404,Apr-14,201404,,ha Highlands Primary Care Clinic,0,0,0,0
201404,Apr-14,201404,,ha Mabvuku PolyClinic,0,0,0,0
201404,Apr-14,201404,,ha Mabvuku Satellite,0,0,0,0
201404,Apr-14,201404,,ha Manyame Airbase Hospital,0,0,0,0
201404,Apr-14,201404,,ha Pacific,0,0,0,0
201404,Apr-14,201404,,ha Tafara FHS Clinic,0,0,0,0
201404,Apr-14,201404,,ha Arcadia Clinic,0,0,0,0
201404,Apr-14,201404,,ha Arcadia Medical Center,0,0,0,0
201404,Apr-14,201404,,ha Avenues Clinic Hospital,0,0,0,0
201404,Apr-14,201404,,ha Baines Avenue Clinic,0,0,0,0
201404,Apr-14,201404,,ha Braeside FHS Clinic,0,0,0,0
201404,Apr-14,201404,,ha Cimas Chinhoyi Clinic,0,0,0,0
201404,Apr-14,201404,,ha Delta Graniteside Clinic,0,0,0,0
201404,Apr-14,201404,,ha Gonda Hospital,0,0,0,0
201404,Apr-14,201404,,ha Harare City Private Institutions,0,0,0,0
201404,Apr-14,201404,,ha Harare Polytechnic Clinic,0,0,0,0
201404,Apr-14,201404,,ha Harare city centre VMMC clinic,0,0,0,0
201404,Apr-14,201404,,ha Hatfield Clinic,0,0,0,0
201404,Apr-14,201404,,ha Insco Wellness Clinic,0,0,0,0
201404,Apr-14,201404,,ha Metropolitan Clinic,0,0,0,0
201404,Apr-14,201404,,ha New Cranborne,0,0,0,0
201404,Apr-14,201404,,"ha PSI New start Centre, Kwame",0,0,0,0
201404,Apr-14,201404,,ha Parirenyatwa Clinic,0,0,0,0
201404,Apr-14,201404,,ha Prospect Palms,0,0,0,0
201404,Apr-14,201404,,ha Queen of Peace,0,0,0,0
201404,Apr-14,201404,,ha Red Crescent Society,0,0,0,0
201404,Apr-14,201404,,ha Roland Square Clinic,0,0,0,0
201404,Apr-14,201404,,ha St Annes Hospital,0,0,0,0
201404,Apr-14,201404,,ha West End Hospital,0,0,0,0
201404,Apr-14,201404,,ha Beatrice Road Hospital,1,0,0,0
201404,Apr-14,201404,,ha Wilkins Infectious Diseases Hospital,0,0,0,0
201404,Apr-14,201404,,ha Avondale Clinic,0,0,0,0
201404,Apr-14,201404,,ha Belvedere Satellite Clinic,0,0,0,0
201404,Apr-14,201404,,ha Mabelreign Satellite Clinic,0,0,0,0
201404,Apr-14,201404,,ha Marlborough Satellite Clinic,0,0,0,0
201404,Apr-14,201404,,ha Roland Square clini,0,0,0,0
201404,Apr-14,201404,,ha Rujeko PolyClinic,0,0,0,0
201404,Apr-14,201404,,ha ZAPSO,0,0,0,0
201404,Apr-14,201404,,ha Borrowdale Clinic,0,0,0,0
201404,Apr-14,201404,,ha Hatcliffe PolyClinic,0,0,0,0
201404,Apr-14,201404,,ha Highlands FHS Clinic,0,0,0,0
201404,Apr-14,201404,,ha Morris Depot Camp Hospital,0,0,0,0
201404,Apr-14,201404,,ha Mount Pleasant Clinic,0,0,0,0
201404,Apr-14,201404,,ha Newlands Clinic,0,0,0,0
201404,Apr-14,201404,,ha University of Zimbabwe,0,0,0,0
201404,Apr-14,201404,,ha Glen Norah Medical Centre,0,0,0,0
201404,Apr-14,201404,,ha Glen Norah Satellite Clinic,0,0,0,0
201404,Apr-14,201404,,ha Highfield PolyClinic,0,0,0,0
201404,Apr-14,201404,,ha Rutsanana PolyClinic,0,0,0,0
201404,Apr-14,201404,,ha Southerton Clinic,0,0,0,0
201404,Apr-14,201404,,ha Spilhaus,0,0,0,0
201404,Apr-14,201404,,ha Spilhaus_Data,0,0,0,0
201404,Apr-14,201404,,ha Vee’s Health Centre,0,0,0,0
201404,Apr-14,201404,,ha Western Triangle Clinic,0,0,0,0
201404,Apr-14,201404,,ha Dunameon,0,0,0,0
201404,Apr-14,201404,,ha Hopley Clinic,0,0,0,0
201404,Apr-14,201404,,ha Matapi Clinic,0,0,0,0
201404,Apr-14,201404,,ha Mbare Hostels Clinic,0,0,0,0
201404,Apr-14,201404,,ha Mbare PolyClinic,0,0,0,0
201404,Apr-14,201404,,ha Sunningdale Clinic,0,0,0,0
201404,Apr-14,201404,,ha Waterfalls Clinic,0,0,0,0
201404,Apr-14,201404,,ha Budiriro PolyClinic,0,0,0,0
201404,Apr-14,201404,,ha Budiriro Satellite Clinic,0,0,0,0
201404,Apr-14,201404,,ha Glen View Maternity Home,0,0,0,0
201404,Apr-14,201404,,ha Glen View PolyClinic,0,0,0,0
201404,Apr-14,201404,,ha Glen View Satellite Clinic,0,0,0,0
201404,Apr-14,201404,,ha Mufakose PolyClinic,0,0,0,0
201404,Apr-14,201404,,ha Starlight,0,0,0,0
201404,Apr-14,201404,,ha Kambuzuma PolyClinic,0,0,0,0
201404,Apr-14,201404,,ha Kuwadzana Phase 4,0,0,0,0
201404,Apr-14,201404,,ha Kuwadzana PolyClinic,0,0,0,0
201404,Apr-14,201404,,ha Warren Park PolyClinic,0,0,0,0
201405,May-14,201405,,ha Caledonia sate,0,0,0,0
201405,May-14,201405,,ha Eastley FHS Clinic,0,0,0,0
201405,May-14,201405,,ha Chitungwiza Central Hospital,0,0,0,0
201405,May-14,201405,,ha Harare Central Hospital,0,0,0,0
201405,May-14,201405,,ha Parirenyatwa Group of Hospitals,0,0,0,0
201405,May-14,201405,,ha Greendale FHS Clinic,0,0,0,0
201405,May-14,201405,,ha Highlands Primary Care Clinic,0,0,0,0
201405,May-14,201405,,ha Mabvuku PolyClinic,1,0,0,0
201405,May-14,201405,,ha Mabvuku Satellite,0,0,0,0
201405,May-14,201405,,ha Manyame Airbase Hospital,0,0,0,0
201405,May-14,201405,,ha Pacific,0,0,0,0
201405,May-14,201405,,ha Tafara FHS Clinic,0,0,0,0
201405,May-14,201405,,ha Arcadia Clinic,0,0,0,0
201405,May-14,201405,,ha Arcadia Medical Center,0,0,0,0
201405,May-14,201405,,ha Avenues Clinic Hospital,0,0,0,0
201405,May-14,201405,,ha Baines Avenue Clinic,0,0,0,0
201405,May-14,201405,,ha Braeside FHS Clinic,0,0,0,0
201405,May-14,201405,,ha Cimas Chinhoyi Clinic,0,0,0,0
201405,May-14,201405,,ha Delta Graniteside Clinic,0,0,0,0
201405,May-14,201405,,ha Gonda Hospital,0,0,0,0
201405,May-14,201405,,ha Harare City Private Institutions,0,0,0,0
201405,May-14,201405,,ha Harare Polytechnic Clinic,0,0,0,0
201405,May-14,201405,,ha Harare city centre VMMC clinic,0,0,0,0
201405,May-14,201405,,ha Hatfield Clinic,0,0,0,0
201405,May-14,201405,,ha Insco Wellness Clinic,,,,
201405,May-14,201405,,ha Metropolitan Clinic,,,,
201405,May-14,201405,,ha New Cranborne,,,,
201405,May-14,201405,,"ha PSI New start Centre, Kwame",,,,
201405,May-14,201405,,ha Parirenyatwa Clinic,,,,
201405,May-14,201405,,ha Prospect Palms,0,0,0,0
201405,May-14,201405,,ha Queen of Peace,0,0,0,0
201405,May-14,201405,,ha Red Crescent Society,0,0,0,0
201405,May-14,201405,,ha Roland Square Clinic,0,0,0,0
201405,May-14,201405,,ha St Annes Hospital,0,0,0,0
201405,May-14,201405,,ha West End Hospital,0,0,0,0
201405,May-14,201405,,ha Beatrice Road Hospital,0,0,0,0
201405,May-14,201405,,ha Wilkins Infectious Diseases Hospital,0,0,0,0
201405,May-14,201405,,ha Avondale Clinic,0,0,0,0
201405,May-14,201405,,ha Belvedere Satellite Clinic,0,0,0,0
201405,May-14,201405,,ha Mabelreign Satellite Clinic,0,0,0,0
201405,May-14,201405,,ha Marlborough Satellite Clinic,0,0,0,0
201405,May-14,201405,,ha Roland Square clini,0,0,0,0
201405,May-14,201405,,ha Rujeko PolyClinic,0,0,0,0
201405,May-14,201405,,ha ZAPSO,0,0,0,0
201405,May-14,201405,,ha Borrowdale Clinic,0,0,0,0
201405,May-14,201405,,ha Hatcliffe PolyClinic,0,0,0,0
201405,May-14,201405,,ha Highlands FHS Clinic,0,0,0,0
201405,May-14,201405,,ha Morris Depot Camp Hospital,0,0,0,0
201405,May-14,201405,,ha Mount Pleasant Clinic,0,0,0,0
201405,May-14,201405,,ha Newlands Clinic,0,0,0,0
201405,May-14,201405,,ha University of Zimbabwe,0,0,0,0
201405,May-14,201405,,ha Glen Norah Medical Centre,0,0,0,0
201405,May-14,201405,,ha Glen Norah Satellite Clinic,0,0,0,0
201405,May-14,201405,,ha Highfield PolyClinic,0,0,0,0
201405,May-14,201405,,ha Rutsanana PolyClinic,0,0,0,0
201405,May-14,201405,,ha Southerton Clinic,0,0,0,0
201405,May-14,201405,,ha Spilhaus,0,0,0,0
201405,May-14,201405,,ha Spilhaus_Data,0,0,0,0
201405,May-14,201405,,ha Vee’s Health Centre,0,0,0,0
201405,May-14,201405,,ha Western Triangle Clinic,0,0,0,0
201405,May-14,201405,,ha Dunameon,0,0,0,0
201405,May-14,201405,,ha Hopley Clinic,0,0,0,0
201405,May-14,201405,,ha Matapi Clinic,0,0,0,0
201405,May-14,201405,,ha Mbare Hostels Clinic,0,0,0,0
201405,May-14,201405,,ha Mbare PolyClinic,0,0,0,0
201405,May-14,201405,,ha Sunningdale Clinic,0,0,0,0
201405,May-14,201405,,ha Waterfalls Clinic,0,0,0,0
201405,May-14,201405,,ha Budiriro PolyClinic,0,0,0,0
201405,May-14,201405,,ha Budiriro Satellite Clinic,0,0,0,0
201405,May-14,201405,,ha Glen View Maternity Home,0,0,0,0
201405,May-14,201405,,ha Glen View PolyClinic,0,0,0,0
201405,May-14,201405,,ha Glen View Satellite Clinic,0,0,0,0
201405,May-14,201405,,ha Mufakose PolyClinic,0,0,0,0
201405,May-14,201405,,ha Starlight,0,0,0,0
201405,May-14,201405,,ha Kambuzuma PolyClinic,0,0,0,0
201405,May-14,201405,,ha Kuwadzana Phase 4,0,0,0,0
201405,May-14,201405,,ha Kuwadzana PolyClinic,0,0,0,0
201405,May-14,201405,,ha Warren Park PolyClinic,0,0,0,0
201406,Jun-14,201406,,ha Caledonia sate,0,0,0,0
201406,Jun-14,201406,,ha Eastley FHS Clinic,0,0,0,0
201406,Jun-14,201406,,ha Chitungwiza Central Hospital,0,0,0,0
201406,Jun-14,201406,,ha Harare Central Hospital,0,0,0,0
201406,Jun-14,201406,,ha Parirenyatwa Group of Hospitals,0,0,0,0
201406,Jun-14,201406,,ha Greendale FHS Clinic,0,0,0,0
201406,Jun-14,201406,,ha Highlands Primary Care Clinic,0,0,0,0
201406,Jun-14,201406,,ha Mabvuku PolyClinic,0,0,0,0
201406,Jun-14,201406,,ha Mabvuku Satellite,0,0,0,0
201406,Jun-14,201406,,ha Manyame Airbase Hospital,0,0,0,0
201406,Jun-14,201406,,ha Pacific,0,0,0,0
201406,Jun-14,201406,,ha Tafara FHS Clinic,0,0,0,0
201406,Jun-14,201406,,ha Arcadia Clinic,0,0,0,0
201406,Jun-14,201406,,ha Arcadia Medical Center,0,0,0,0
201406,Jun-14,201406,,ha Avenues Clinic Hospital,0,0,0,0
201406,Jun-14,201406,,ha Baines Avenue Clinic,0,0,0,0
201406,Jun-14,201406,,ha Braeside FHS Clinic,0,0,0,0
